CRM Client Id,Name,Company Type,Street,Street2,City,State,Zip,Country,Phone,Mobile,Fax,Email,Website,Salesperson,Salesperson ID,Lead Generator Name,Lead Generator ID,Lead Source,Source Notes,Chatter -- Created Date,Chatter -- Last Updated Date,Chatter -- Last Updated by ID,Missed Items,Import Status
1C315E27-03B2-4E9C-B14A-5406196551EF,   Ascend -Infinity   ,Property Itself,2322 Lombard Street,,San Francisco ,CA,94123,United States,(415) 672-1934,,,,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Referral,Dipak Patel ,04-12-2018,7/31/2024,675DDE72-5FF9-4D6A-AF05-5112224BAC48,,updated
5A4D2BE4-3929-43A2-9AE5-45176149CB53,  Casa Tua Hotel ,Property Itself,129 West 46th Street,,New York,NY,10036,United States,(212) 221-2600,,,,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,,Referral,,5/21/2019,08-07-2019,6481A1B6-3C7C-4489-841F-FA6E73A11321,,updated
7792C5E2-6977-47B0-8F34-CDEAE51AD0D0, (Artel) Lord & Moris,Property Itself,1107 Dekalb Avenue,,Brooklyn,NY,,United States,212.999.1000,,,,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,,Referral,Suzanne S ,12-06-2019,12-09-2019,6481A1B6-3C7C-4489-841F-FA6E73A11321,,updated
F8CA4CAA-2EEE-4FA7-81A6-23BB950456CF," Country Inn & Suites by Radisson, Petersburg, VA",Property Itself,130 Wagner Rd,,Petersburg,VA,23805,United States,(804) 518-8988,,,,,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Call-in to Sales Line,Call in because of preferred vendor status,12/13/2024,08-04-2025,1731E44B-31D2-4E04-992A-5396A14D8BC4,,updated
49473C28-4A0D-44B8-8CC2-BB8EB1E4259D,"FP Holdings, L.P. dba Palms Casino Resort",Property Itself,4321 W Flamingo Rd,,Las Vegas ,NV,89103,United States,(866) 942-7777,,,,https://www.palms.com/,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Referral,Brian Ambrosia ,11/15/2024,11/17/2025,BE86AE57-6A2A-4142-89C9-135A36C80086,,updated
E46886A1-5DB0-4699-A0FC-7DB56FB5F0AD, Kauai Shores Hotel,Property Itself,420 Papaloa Rd,," Kapaa,",HI,96746,United States,808.822.4951,,,,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321, ,,Referral,Royal Lahainia ,7/17/2017,7/17/2017,6481A1B6-3C7C-4489-841F-FA6E73A11321,,updated
07271F41-7C35-4028-B001-163D9871B580, Midpointe Hotel by Rosen Hotels & Resorts,Property Itself,9956 Hawaiian Court,,Orlando,FL,32819,United States,(407) 992-0445,,,,http://www.clarionidriveorlando.com/,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777,Dave DeBroux,6CE13390-A6D7-43CB-BE5E-E4A2C4F3F748,Marketing Campaign,BTV Casting,01-11-2017,5/25/2022,6CE13390-A6D7-43CB-BE5E-E4A2C4F3F748,,updated
FE67A1AF-27C5-44FD-B632-521FCF66A3E4,Global Integrity Realty Corp,Property Itself,2000 N Highgland Ave ,,Hollywood ,CA,90068,United States,3107850077,,,,,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Contact Us Webpage,MDU web form,1/15/2021,4/21/2022,CCB8D2BB-91AE-429C-9A48-853703AC0ACC,,updated
A96AC5FC-FF30-4391-A9B3-E54AA306D36D,[205] 2125 Franklin,Property Itself,"2125 Franklin Blvd, ",,Eugene,OR,97403,United States,(458) 201-8130,,,,https://www.americancampus.com/student-apartments/or/eugene/2125-franklin,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
EB41A643-3333-497C-9B47-4B0BB396C8D4,[210] University Pointe,Property Itself,"1955 SW Fifth Ave, ",,Portland,OR,97201,United States,(503) 924-0003,,,,https://www.americancampus.com/student-apartments/or/portland/university-pointe-at-college-station,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-08-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
9FC4FD6D-B4EB-45E5-8024-EF0BAC344A66,[214] 7th Street Station,Property Itself,"701 SW 7th Street, ",,Corvallis,OR,97333,United States,(541) 286-4945,,,,https://www.americancampus.com/student-apartments/or/corvallis/7th-street-station,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
0282470F-3F0D-4C1E-8878-68D77883BF9B,[260] 1200 West Marshall,Property Itself,1200 W. Marshall Street ,,Richmond,VA,23220,United States,(804) 562-3042,,,,https://www.americancampus.com/student-apartments/va/richmond/1200-west-marshall,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
B563A932-50FA-4556-8B43-62AEA82D467D,[262] Gladding Residence Center,Property Itself,"711 W Main Street, ",,Richmond,VA,23220,United States,(804) 828-7666,,,,https://housing.vcu.edu/halls/gladding-residence-center/,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
4D708AB7-A19A-4D22-AB7C-E95F003061BF,[303] State,Property Itself,"1721 Choice Center Drive, ",,Fort Collins,CO,80525,United States,(970) 484-7267,,,,https://www.americancampus.com/student-apartments/co/fort-collins/state,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
13924B8F-7989-4E6A-810A-8233CBFD80CA,[305] Jacob Heights/Jacob Heights III/The Summit,Property Itself,"1801 Monks Avenue,",,Mankato,MN,56001,United States,(507) 388-2543,,,,https://www.americancampus.com/student-apartments/mn/mankato/the-summit-jacob-heights,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,06-05-2023,BE86AE57-6A2A-4142-89C9-135A36C80086,,updated
89AD280B-DF47-4799-AC9D-D4B30561CB23,[308] University Commons,Property Itself,"609 Huron Blvd SE,",,Minneapolis,MN,55414,United States,(612) 623-3225,,,,https://www.americancampus.com/student-apartments/mn/minneapolis/university-commons,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
32953FA7-9502-449F-A8C1-E09517D5B668,[402] Campus Edge on Pierce,Property Itself,"134 Pierce St,",,West Lafayette,IN,47906,United States,(765) 535-1349,,,,https://www.americancampus.com/student-apartments/in/west-lafayette/campus-edge-on-pierce,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
23FF559A-88CA-4719-A942-C3FA9B05452B,[454] Villas at Chestnut Ridge,Property Itself,"3751 Nickel Way,",,Amherst,NY,14228,United States,(716) 691-9600,,,,https://www.americancampus.com/student-apartments/ny/buffalo/villas-at-chestnut-ridge,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
5013E5EC-75D9-4C84-ACFA-3C1E38E66D3E,[455] Villas on Rensch,Property Itself,"100 Villas Dr.,",,East Amherst,NY,14228,United States,(716) 932-7900,,,,https://www.americancampus.com/student-apartments/ny/buffalo/villas-on-rensch,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
83B050A5-945C-44FC-BA22-049BDACED40B,[460] University Centre,Property Itself,"250 Central Ave,",,Newark,NJ,07103,United States,(973) 504-8200,,,,https://www.americancampus.com/student-apartments/nj/newark/university-centre,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
423814C0-C721-4D60-AED1-3D71E12D40D6,[473] University Crossing,Property Itself,"9010 University City Blvd, ",,Charlotte,NC,28213,United States,(704) 401-4201,,,,https://www.americancampus.com/student-apartments/nc/charlotte/university-crossings-charlotte,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
3290070E-9704-4AAC-B077-C98ADBD27D1B,[474] University Walk,Property Itself,"1205 University Walk Circle, ",,Charlotte,NC,28213,United States,(704) 510-2226,,,,https://www.americancampus.com/student-apartments/nc/charlotte/university-walk,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Dustin Johnston,C9D09C63-60DD-4E43-95D2-76CB846D9484,Referral,ACC,04-07-2023,04-07-2023,C9D09C63-60DD-4E43-95D2-76CB846D9484,,updated
