CRM Client Id,Salesperson,Salesperson ID,Company Name,Status,CRM Status,Street,Street2,City,State,Zip,Country,Phone Number,Phone2,Fax,Email,Website,Number of Rooms,Brand,Sub-brand,Estimated Opening Date,Company vs Property,CRM Property Type,New Property Type,New Company Type,Property ID,Lead Source,Lead Generator,Lead Generator,Source Notes,Created Date,Call Back Date
A494B6B8-3381-4893-8219-35AFB5CBB577,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Sleep Inn and Suites,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,2247303928,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Contact Us Webpage, ,NULL,"CRM Lead Source: Contact Us, CRM Source Notes: ",6/11/2024,NULL
C656FE3A-2FEB-40DF-8C50-8247BBDE887C,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,ECONOLODGE INN AND SUITES,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,6618173736,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Contact Us Webpage, ,NULL,"CRM Lead Source: Contact Us, CRM Source Notes: ",4/5/2024,NULL
9DC1337A-DC33-44EB-A080-9A8D5B6838D2,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Menorah Manor (Life),Contacted,Contacted,NULL,NULL,NULL,NULL,NULL,NULL,7273023735,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Contact Us Webpage, ,NULL,"CRM Lead Source: Contact Us, CRM Source Notes: ",1/29/2024,NULL
8FEB8ABA-7C5D-45DA-A9AF-939C03EB83E1,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,M&C properties LLC,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,8184808997,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Free Wi-Fi Assessment Webpage, ,NULL,"CRM Lead Source: Free WiFi Assessment Form , CRM Source Notes: ",8/1/2023,NULL
78C8A1E7-E1A2-42D5-99A2-08FAAD733E52,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Best Western,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,5595353698,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Free Wi-Fi Assessment Webpage, ,NULL,"CRM Lead Source: Free Wi-Fi Assessment [new HIS site form], CRM Source Notes: ",6/28/2020,NULL
6193729E-BFF7-475B-925C-A9FCAE7C7CAF,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Raddison,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,7006515926,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Marketing Campaign, ,NULL,"CRM Lead Source: Radisson Hotel contact form [Raddison LP] , CRM Source Notes: ",5/23/2023,NULL
7E0D9CB8-F56C-4400-858C-92E6BEC52879,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Super 8,New,Prospect,211 S Waukechon St,,Shawano,WI,54166,USA,(715) 526-6688,,,,,55,,,NULL,Property,Advertising Co,NULL,Property Itself,,Free Wi-Fi Assessment Webpage, ,NULL,"CRM Lead Source: Free Wi-Fi Assessment [new HIS site form], CRM Source Notes: ",4/2/2019,NULL
32478B24-DC9D-44A3-B4D3-0ADB4D80D873,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Grand Beach Resort Partners LLC,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(231) 938-4455,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Get Your Free Demo Webpage, ,NULL,"CRM Lead Source: Get Your Free Demo, CRM Source Notes: ",10/1/2024,NULL
3C1EDADF-88EE-484B-AC47-A7ECADE8E777,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Quality inn & suites,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(573) 221-4001,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Get Your Free Demo Webpage, ,NULL,"CRM Lead Source: Get Your Free Demo, CRM Source Notes: ",4/10/2024,NULL
71C4DFFE-5B76-4829-B7DD-6D0AB7091BB6,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Motel 6,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(970) 639-0859,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Get Your Free Demo Webpage, ,NULL,"CRM Lead Source: Get Your Free Demo, CRM Source Notes: ",10/13/2024,NULL
FC9431D3-E471-4C8A-910E-0B4FF8B9112E,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,FHL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(407) 491-5118,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Get Your Free Demo Webpage, ,NULL,"CRM Lead Source: Get Your Free Demo, CRM Source Notes: ",12/19/2024,NULL
E21A0F94-053F-49F7-A216-004AB19EEC65,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Hancienda Del Sol,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(520) 534-4078,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Get Your Free Demo Webpage, ,NULL,"CRM Lead Source: Get Your Free Demo, CRM Source Notes: ",6/1/2024,NULL
553080E6-2E6A-4E7D-A14D-906CC1C925E4,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Village Hotel on Biltmore Estate,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(828) 777-7837,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Get Your Free Demo Webpage, ,NULL,"CRM Lead Source: Get Your Free Demo, CRM Source Notes: ",4/29/2024,NULL
AF7FF5AE-AAE2-4DF6-89F7-F13BDB487A3E,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Hidden Moose lodge,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,4068626516,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Marketing Campaign, ,NULL,"CRM Lead Source: GuestCast - Infographic- Email Campaign , CRM Source Notes: ",5/9/2023,NULL
16B5380C-85D7-4D84-B512-3881CA0DB57B,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Fessler bowman,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,7044215395,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Free Wi-Fi Assessment Webpage, ,NULL,"CRM Lead Source: Free WiFi Assessment Form , CRM Source Notes: ",4/24/2023,NULL
CF99670F-222C-4C3D-A4F4-655DCDF255E3,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Ppm corp,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,2154311754,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Tradeshow/Conference, ,NULL,"CRM Lead Source: Extended Stay Hotel Show 2024, CRM Source Notes: ",5/21/2024,NULL
65115F8A-61C4-46F9-B35C-96263100F4EA,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,BEST INN AND SUITES,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(708) 717-5926,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Free Wi-Fi Assessment Webpage, ,NULL,"CRM Lead Source: Get your free Wi-Fi Assessment, CRM Source Notes: ",6/17/2024,NULL
1D313E54-28B8-4EB2-B24A-F241F3895F1C,Stefan Prince,1731E44B-31D2-4E04-992A-5396A14D8BC4,Management Hospitality,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(786) 416-2606,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Free Wi-Fi Assessment Webpage, ,NULL,"CRM Lead Source: Get your free Wi-Fi Assessment, CRM Source Notes: ",9/1/2024,NULL
