CRM Client Id,Salesperson,Salesperson ID,Company Name,Management Company,Management Company ID,Status,CRM Status,Street,Street2,City,State,Zip,Country,Phone Number,Phone2,Fax,Email,Website,Number of Rooms,Brand,Sub-brand,Estimated Opening Date,Company vs Property,CRM Property Type,New Property Type,New Company Type,Property ID,Lead Source,Lead Generator,Lead Generator,Source Notes,Created Date,Call Back Date
5448C771-346C-47F0-9033-010361AABBDA,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Lb Motel,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(562) 218-4548,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Marketing Campaign, ,NULL,"CRM Lead Source: Fusion Website - Contact Us Form, CRM Source Notes: ",8/19/2016,NULL
E55A024A-AF44-4D3F-B519-0779B2D66A4F,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777,Yukon Inn,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,18676338528,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Old Website Form, ,NULL,"CRM Lead Source: GuestCast Demo Form, CRM Source Notes: ",7/13/2023,10/6/2023
C5F866DB-F7CC-41BB-A3ED-158182B34E84,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Misty Harbor Resort,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(207) 646-8373,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Free Wi-Fi Assessment Webpage, ,NULL,"CRM Lead Source: Wi-Fi Assessment [hotelwifi.com], CRM Source Notes: ",8/3/2016,NULL
CE9F1EDC-460D-41FC-9F60-16897B88ACB5,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Windjammer Resort & Beach Club,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(954) 776-4232,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Old Website Form, ,NULL,"CRM Lead Source: BeyondTV On-Line Demo, CRM Source Notes: ",7/5/2016,NULL
76E8A0B3-73D1-4CEC-BB6D-1970DD6116D6,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Greatchoice Computer Service,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(877) 290-0489,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Contact Us Webpage, ,NULL,"CRM Lead Source: Hotelwifi Website - Contact Us Form, CRM Source Notes: ",2/28/2017,NULL
29ED2C81-75D0-4747-B371-1B428A7938D0,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Paez,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(704) 999-0100,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Old Website Form, ,NULL,"CRM Lead Source: BeyondTV On-Line Demo, CRM Source Notes: ",8/2/2016,NULL
984CB80F-68ED-4EE0-BFB1-1B5A01EFD897,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,The Manor Suites,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(415) 832-9119,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Contact Us Webpage, ,NULL,"CRM Lead Source: Hotelwifi Website - Contact Us Form, CRM Source Notes: ",9/22/2016,NULL
92E98F6F-CE43-4A45-86C7-286BBA12A408,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Gehospitality,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(229) 241-9221,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Marketing Campaign, ,NULL,"CRM Lead Source: Fusion Website - Contact Us Form, CRM Source Notes: ",5/11/2016,NULL
B1448C35-B8E7-435C-9A45-3302C49F8EDC,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777,HARESH PATEL,NULL,NULL,New,NULL,Haresh Patel,1917 Commerce Ave NW,Cullman,AL,35058,,,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,,NULL, ,NULL,"CRM Lead Source: none, CRM Source Notes: ",4/10/2020,NULL
9676B4E4-B9E5-41CA-95EA-36873CB8592C,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Modern Honolulu/The,NULL,NULL,New,Prospect,1775 Ala Moana Blvd,,Honolulu,HI,96815-1603,UNITED STATES,808-943-5826,,,karen.codilla@themodernhonolulu.com,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Tradeshow/Conference, ,NULL,"CRM Lead Source: HITEC 2016 Booth Attendees, CRM Source Notes: ",6/30/2016,NULL
A517EB74-6CC4-461F-9ABB-4746230A7420,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Stay Alfred Vacation Rentals,NULL,NULL,New,Prospect,2811 E 11th Ave,,Spokane,WA,99202-4306,UNITED STATES,(425)780-9020,,,john@stayalfred.com,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Tradeshow/Conference, ,NULL,"CRM Lead Source: HITEC 2016 Booth Attendees, CRM Source Notes: ",6/30/2016,NULL
80E1E790-0651-4CFC-8A2B-4F2C5068067D,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Trent Hotels,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(818) 246-4486,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Tradeshow/Conference, ,NULL,"CRM Lead Source: Smart Homes Show 2025, CRM Source Notes: ",1/22/2017,NULL
30198C7F-296E-41CC-8256-53B9F8DA6E52,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Rideau Motel,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(410) 289-7221,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Free Wi-Fi Assessment Webpage, ,NULL,"CRM Lead Source: Wi-Fi Assessment [hotelwifi.com], CRM Source Notes: ",3/3/2017,NULL
1DCE34D2-7801-4C59-BCA4-3B38A99EC241,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,GardenTree hotels,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(901) 734-7986,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Marketing Campaign, ,NULL,"CRM Lead Source: Make your TV a Profit tool-email sendgrid [On-Line Demo], CRM Source Notes: ",11/5/2016,NULL
F0C6C628-2913-4575-A50E-3F0E6F50C69E,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Clipper Equity,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(718) 438-2804,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Tradeshow/Conference, ,NULL,"CRM Lead Source: HX 2016 Demo Sign Up, CRM Source Notes: ",11/12/2016,NULL
3454FD9B-5408-4AB7-ADC9-58C6C205C43D,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Jupiter Hotel,NULL,NULL,New,Prospect,800 E Burnside St,,Portland,OR,97214,UNITED STATES,(503)230-9200,,,al@jupiterhote.com,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Tradeshow/Conference, ,NULL,"CRM Lead Source: HITEC 2016 Booth Attendees, CRM Source Notes: ",6/30/2016,NULL
A7013875-449D-41BF-B4BB-5DF9B2BB57BF,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Soleil Management,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(702) 367-4010,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,"Social Media (FB, IG, etc)", ,NULL,"CRM Lead Source: Social Media - HIS Landing Page Form, CRM Source Notes: ",6/29/2016,NULL
99C179E8-2612-4F5E-9669-771AECE6FD1D,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,DeRose,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(714) 772-3691,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Old Website Form, ,NULL,"CRM Lead Source: BeyondTV On-Line Demo, CRM Source Notes: ",9/16/2016,NULL
C2A69AD8-03D8-435F-9129-7736E0FF74B5,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,PDI Communications,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(561) 910-2308,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Old Website Form, ,NULL,"CRM Lead Source: BeyondTV On-Line Demo, CRM Source Notes: ",8/2/2016,NULL
43285046-90DC-4957-B818-7775313127F4,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Folk Inn Ontario Airport,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(909) 937-9700,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Contact Us Webpage, ,NULL,"CRM Lead Source: Hotelwifi Website - Contact Us Form, CRM Source Notes: ",10/21/2016,NULL
CA96C58C-4220-477E-B425-79646E00D22C,Jack Nielsen,26E9224E-6C77-4BE7-8ABB-A4A578110777,Tinaroo Lake Resort,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(045) 885-7994,,,,,0,,,NULL,Unknown,NULL,NULL,NULL,,Free Wi-Fi Assessment Webpage, ,NULL,"CRM Lead Source: Get your free MDU Wi-Fi Assessment, CRM Source Notes: ",7/2/2024,NULL
D9FBC543-CC2D-47F2-A2EF-79736902CB5B,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Ramada BWI/Arundel Mills,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(202) 497-1551,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Contact Us Webpage, ,NULL,"CRM Lead Source: Hotelwifi Website - Contact Us Form, CRM Source Notes: ",3/22/2017,NULL
F488C033-4D64-492F-87AD-6D9CEAE53B29,Stephen Nichols,6481A1B6-3C7C-4489-841F-FA6E73A11321,Mid Continent Hospitality,NULL,NULL,New,Prospect,NULL,NULL,NULL,NULL,NULL,NULL,(925) 250-2246,,,NULL,,0,,,NULL,Unknown,NULL,NULL,NULL,NULL,Old Website Form, ,NULL,"CRM Lead Source: BTV Jane Casting email No1 [On-Line Demo], CRM Source Notes: ",10/5/2016,NULL
